Title,Category,Slug,Page URL,Thumbnail URL,Description,Play Now
APPLE SHOOTER,Free Games,apple-shooter,https://unblockedgames66.gitlab.io/game/apple-shooter.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/apple-shooter.jpg,"Play APPLE SHOOTER unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/apple-shooter.html
AQUAPARK IO,Io Games,aquapark-io,https://unblockedgames66.gitlab.io/game/aquapark-io.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/aquapark-io.jpg,"Play AQUAPARK IO unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/aquapark-io.html
ARCANE ARCHER,Free Games,arcane-archer,https://unblockedgames66.gitlab.io/game/arcane-archer.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/arcane-archer.jpg,"Play ARCANE ARCHER unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/arcane-archer.html
ARCHERY WORLD TOUR,66-Ez Games,archery-world-tour,https://unblockedgames66.gitlab.io/game/archery-world-tour.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/archery-world-tour.jpg,"Play ARCHERY WORLD TOUR unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/archery-world-tour.html
ARRAS IO,Io Games,arras-io,https://unblockedgames66.gitlab.io/game/arras-io.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/arras-io.jpg,"Play ARRAS IO unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/arras-io.html
ASPIRING ARTIST,66-Ez Games,aspiring-artist,https://unblockedgames66.gitlab.io/game/aspiring-artist.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/aspiring-artist.jpg,"Play ASPIRING ARTIST unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/aspiring-artist.html
AWESOME TANKS 2,66-Ez Games,awesome-tanks-2,https://unblockedgames66.gitlab.io/game/awesome-tanks-2.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/awesome-tanks-2.jpg,"Play AWESOME TANKS 2 unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/awesome-tanks-2.html
BACKFLIPPER,Free Games,backflipper,https://unblockedgames66.gitlab.io/game/backflipper.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/backflipper.jpg,"Play BACKFLIPPER unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/backflipper.html
BACKROOMS 2D,Free Games,backrooms-2d,https://unblockedgames66.gitlab.io/game/backrooms-2d.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/backrooms-2d.jpg,"Play BACKROOMS 2D unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/backrooms-2d.html
BACKROOMS,Free Games,backrooms,https://unblockedgames66.gitlab.io/game/backrooms.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/backrooms.jpg,"Play BACKROOMS unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/backrooms.html
BACON MAY DIE,66-Ez Games,bacon-may-die,https://unblockedgames66.gitlab.io/game/bacon-may-die.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/bacon-may-die.jpg,"Play BACON MAY DIE unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/bacon-may-die.html
BAD EGG IO,Io Games,bad-egg-io,https://unblockedgames66.gitlab.io/game/bad-egg-io.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/bad-egg-io.jpg,"Play BAD EGG IO unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/bad-egg-io.html
BAD ICE CREAM 2,66-Ez Games,bad-ice-cream-2,https://unblockedgames66.gitlab.io/game/bad-ice-cream-2.html,https://unblockedgames66.gitlab.io/assets/upload/66games/jpg/bad-ice-cream-2.jpg,"Play BAD ICE CREAM 2 unblocked for free on Unblocked Games G+. No download, no login required. Works on school Chromebook and restricted networks.",https://unblockedgames66.gitlab.io/game/bad-ice-cream-2.html
